Date,Open,High,Low,Close,Adj Close,Volume
7/30/2021,285.17,286.66,283.91,284.91,283.85,20940900.00
8/2/2021,286.36,286.77,283.74,284.82,283.76,16267400.00
8/3/2021,285.42,287.23,284.00,287.12,286.05,17879000.00
8/4/2021,286.22,287.59,284.65,286.51,285.44,16191300.00
8/5/2021,286.88,289.63,286.10,289.52,288.44,13900200.00
8/6/2021,288.51,289.50,287.62,289.46,288.38,16585200.00
8/9/2021,289.75,291.55,287.81,288.33,287.25,16117600.00
8/10/2021,288.80,289.25,285.20,286.44,285.37,18616600.00
8/11/2021,287.21,288.66,285.86,286.95,285.88,13955900.00
8/12/2021,286.63,289.97,286.34,289.81,288.73,14561300.00
8/13/2021,289.48,292.90,289.30,292.85,291.76,18231400.00
8/16/2021,293.19,294.82,290.02,294.60,293.50,22507600.00
8/17/2021,292.39,293.43,291.08,293.08,291.99,20075300.00
8/18/2021,292.04,294.82,290.27,290.73,290.20,21813000.00
8/19/2021,288.69,297.47,288.64,296.77,296.23,29850500.00
8/20/2021,299.72,305.84,298.06,304.36,303.80,40796100.00
8/23/2021,303.25,305.40,301.85,304.65,304.09,22830200.00
8/24/2021,305.02,305.65,302.00,302.62,302.07,18175800.00
8/25/2021,304.30,304.59,300.42,302.01,301.46,20006100.00
8/26/2021,300.99,302.43,298.95,299.09,298.54,17666100.00
8/27/2021,298.99,300.87,296.83,299.72,299.17,22597000.00
8/30/2021,301.12,304.22,301.06,303.59,303.04,16348100.00
8/31/2021,304.42,304.50,301.50,301.88,301.33,26285300.00
9/1/2021,302.87,305.19,301.49,301.83,301.28,18983800.00
9/2/2021,302.20,303.36,300.18,301.15,300.60,16285600.00
9/3/2021,300.99,302.60,300.26,301.14,300.59,14747900.00
9/7/2021,301.01,301.09,298.20,300.18,299.63,17180400.00
9/8/2021,299.78,300.61,297.47,300.21,299.66,15046800.00
9/9/2021,300.82,302.14,297.00,297.25,296.71,19927000.00
9/10/2021,298.42,299.92,295.38,295.71,295.17,19619400.00
9/13/2021,297.55,298.54,294.08,296.99,296.45,23652900.00
9/14/2021,299.56,301.39,298.10,299.79,299.24,21853400.00
9/15/2021,303.26,305.32,301.82,304.82,304.26,28356300.00
9/16/2021,303.76,305.31,300.76,305.22,304.66,19550800.00
9/17/2021,304.17,304.50,299.53,299.87,299.32,41372500.00
9/20/2021,296.33,298.72,289.52,294.30,293.76,38278700.00
